Блок сайта,Подблок,Тип контента,Вопрос,Ответ (сырой),Инсайт  суть,Готовый текст,Нужно фото,Фото  файлы,Ответственный,Статус,Приоритет
Hero,Суть,Текст,Как вы описываете проект в 1–2 предложениях,,, ,TRUE,,Директор,Не заполнено,Высокий
Hero,УТП,Текст,Почему выбирают именно вас,,, ,TRUE,,Директор,Не заполнено,Высокий
Hero,Результат,Текст,Что получает клиент,,, ,TRUE,,Директор,Не заполнено,Высокий
Концепция,Философия,Текст,Это лечение отдых или lifestyle,,, ,FALSE,,Директор,Не заполнено,Средний
Концепция,Отличие,Текст,Чем вы отличаетесь от конкурентов,,, ,FALSE,,Директор,Не заполнено,Высокий
Медицина,Направления,Факт,Какие профили лечения,,, ,TRUE,,Врач,Не заполнено,Высокий
Медицина,Процедуры,Факт,Какие ключевые процедуры,,, ,TRUE,,Врач,Не заполнено,Высокий
Медицина,Уникальность,Текст,Есть ли уникальные методики,,, ,FALSE,,Врач,Не заполнено,Средний
Проживание,Номера,Факт,Какие категории номеров,,, ,TRUE,,Администратор,Не заполнено,Высокий
Проживание,Отличия,Текст,Чем отличаются номера,,, ,TRUE,,Администратор,Не заполнено,Средний
Питание,Формат,Факт,Какой формат питания,,, ,TRUE,,Администратор,Не заполнено,Высокий
Питание,Уровень,Текст,Это ресторан или столовая,,, ,TRUE,,Администратор,Не заполнено,Средний
Инфраструктура,Общая,Факт,Какие зоны есть,,, ,TRUE,,Персонал,Не заполнено,Высокий
Инфраструктура,ТОП,Текст,Какая зона самая сильная,,, ,TRUE,,Персонал,Не заполнено,Средний
Продукты,Путёвки,Факт,Какие форматы путёвок,,, ,FALSE,,Бухгалтер,Не заполнено,Высокий
Продукты,Популярное,Факт,Что чаще покупают,,, ,FALSE,,Бухгалтер,Не заполнено,Средний
Цены,Диапазон,Факт,Средняя стоимость,,, ,FALSE,,Бухгалтер,Не заполнено,Высокий
Цены,Сезонность,Факт,Есть ли сезонность,,, ,FALSE,,Бухгалтер,Не заполнено,Средний
Опыт,День,Текст,Как проходит день клиента,,, ,TRUE,,Персонал,Не заполнено,Высокий
Опыт,Эмоции,Текст,Что чувствует клиент,,, ,FALSE,,Персонал,Не заполнено,Средний
FAQ,Вопросы,FAQ,Какие вопросы задают чаще всего,,, ,FALSE,,Администратор,Не заполнено,Средний
Риски,Слабые места,Текст,Где есть проблемы,,, ,FALSE,,Директор,Не заполнено,Высокий
Риски,Ожидания,Текст,Где не совпадают ожидания,,, ,FALSE,,Директор,Не заполнено,Высокий
